"devicename","driverversion"
"Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 2 - 204B","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 2 - 204A","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LM Channel 2 - 2049","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 DECS Channel 2 - 2048","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 1 - 2047","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 1 - 2046","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LM Channel 1 - 2045","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2044","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2043","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2042","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2041","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2040","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 2 - 204B","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 2 - 204A","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LM Channel 2 - 2049","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 DECS Channel 2 - 2048","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMDP Channel 1 - 2047","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LMS Channel 1 - 2046","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 LM Channel 1 - 2045","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2044","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2043","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2042","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2041","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2040","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2066","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2066","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Intel VT - D - 2034","10.1.2.86"
"HPE Ethernet 10Gb 2-port 560SFP+ Adapter","4.1.77.0"
"HPE Ethernet 10Gb 2-port 560SFP+ Adapter","4.1.77.0"
"PCI Express Root Port","10.0.14393.594"
"PCI Express Root Complex","10.0.14393.594"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2086","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2085","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2084","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2083","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2082","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2081","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2080","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2057","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2056","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2055","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2054","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
