"devicename","driverversion"
"PCI Express Root Complex","10.0.14393.594"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2086","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2085","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2084","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2083","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2082","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2081","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2080","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2057","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2056","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2055","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2054","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 208D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Intel VT - D - 2034","10.1.2.86"
"PCI Express Root Port","10.0.14393.594"
"PCI Express Root Complex","10.0.14393.594"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2016","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2015","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Ubox Registers - 2014","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 IOAPIC - 2026","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 RAS - 2025","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 MM/Vt - d Configuration Registers - 2024","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 CBDMA Registers - 2021","10.1.2.86"
"PCI Express Root Complex","10.0.14393.594"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M2PCI Registers - 2018","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204C","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204E","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204D","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 M3KTI Registers - 204C","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 UPI Registers - 2059","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 KTI 0 - 2058","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 UPI Registers - 2059","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 KTI 0 - 2058","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 UPI Registers - 2059","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 KTI 0 - 2058","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 IOxAPIC Configuration Registers - 2036","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 RAS Configuration Registers - 2035","10.1.2.86"
"Intel(R) Xeon(R) processor P family/Core i7 Intel VT - D - 2034","10.1.2.86"
"PCI Express Root Port","10.0.14393.594"
"Generic SCSI Enclosure Device","10.0.14393.1198"
"Disk drive","10.0.14393.1613"
"HPE Smart Array P408i-a SR Gen10","100.62.0.64"
"PCI Express Root Port","10.0.14393.594"
"PCI Express Root Complex","10.0.14393.594"
